"year_and_week","week_of_year","year","city","region","country","lat","lon","timezone_id","max_temp_c","min_temp_c","avg_temp_c","total_precip_mm","total_snow_cm","avg_humidity","will_it_rain_days","daily_chance_of_rain_avg","will_it_snow_days","daily_chance_of_snow_avg","sunny_days","other_days","rainy_days","snowy_days"
T023-36,36.0,2023.0,Berlin,Berlin,Germany,52.52,13.4,Europe/Berlin,30.5,18.8,24.4000000000000000,0.0,0.0,42.0000000000000000,0,0.00000000000000000000,0,0.00000000000000000000,1,0,0,0
T023-37,37.0,2023.0,Berlin,Berlin,Germany,52.52,13.4,Europe/Berlin,30.4,10.7,20.2571428571428571,3.6,0.0,56.5714285714285714,1,14.2857142857142857,0,0.00000000000000000000,3,3,1,0
T023-38,38.0,2023.0,Berlin,Berlin,Germany,52.52,13.4,Europe/Berlin,28.5,11.0,19.0714285714285714,8.39,0.0,56.8571428571428571,2,47.8571428571428571,0,0.00000000000000000000,0,5,2,0
T023-39,39.0,2023.0,Berlin,Berlin,Germany,52.52,13.4,Europe/Berlin,27.0,11.6,19.0285714285714286,3.55,0.0,59.8571428571428571,1,27.1428571428571429,0,0.00000000000000000000,1,5,1,0
T023-40,40.0,2023.0,Berlin,Berlin,Germany,52.52,13.4,Europe/Berlin,27.0,8.5,15.7714285714285714,11.22,0.0,66.2857142857142857,5,77.8571428571428571,0,0.00000000000000000000,0,2,5,0
T023-41,41.0,2023.0,Berlin,Berlin,Germany,52.52,13.4,Europe/Berlin,22.9,7.0,14.1428571428571429,22.91,0.0,66.8571428571428571,7,100.0000000000000000,0,0.00000000000000000000,0,1,6,0
T023-42,42.0,2023.0,Berlin,Berlin,Germany,52.52,13.4,Europe/Berlin,16.3,4.8,9.1428571428571429,11.32,0.0,73.0000000000000000,5,77.8571428571428571,0,0.00000000000000000000,1,1,5,0
T023-43,43.0,2023.0,Berlin,Berlin,Germany,52.52,13.4,Europe/Berlin,15.2,8.5,11.1333333333333333,26.08,0.0,82.1666666666666667,5,90.8333333333333333,0,0.00000000000000000000,0,1,5,0
T023-44,44.0,2023.0,Berlin,Berlin,Germany,52.52,13.4,Europe/Berlin,14.9,6.5,10.6833333333333333,16.09,0.0,75.8333333333333333,4,81.6666666666666667,0,0.00000000000000000000,0,2,4,0
T023-45,45.0,2023.0,Berlin,Berlin,Germany,52.52,13.4,Europe/Berlin,11.8,4.6,8.8000000000000000,3.44,0.0,73.1666666666666667,6,100.0000000000000000,0,0.00000000000000000000,0,0,6,0
